index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	0.tsv	result/homeo_answer.tsv	344850	6117	269	PDBTrRosetta	16	4	1	344576	5	268	0.1667	0.0037	0.9992	0.0073
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	4.tsv	result/homeo_answer.tsv	344850	7012	269	PDBTrRosetta	16	4	0	344576	5	269	0.0000	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	1.tsv	result/homeo_answer.tsv	344850	9210	269	PDBTrRosetta	16	4	4	344576	5	265	0.4444	0.0149	0.9992	0.0288
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	2.tsv	result/homeo_answer.tsv	344850	25566	269	PDBTrRosetta	16	4	4	344576	5	265	0.4444	0.0149	0.9992	0.0288
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	3.tsv	result/homeo_answer.tsv	344850	2254	269	PDBTrRosetta	16	4	7	344576	5	262	0.5833	0.0260	0.9992	0.0498
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	4.tsv	result/homeo_answer.tsv	344850	69176	269	PDBTrRosetta	16	4	10	344576	5	259	0.6667	0.0372	0.9992	0.0704
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	2.tsv	result/homeo_answer.tsv	344850	49685	269	PDBTrRosetta	16	4	2	344576	5	267	0.2857	0.0074	0.9992	0.0145
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	0.tsv	result/homeo_answer.tsv	344850	61631	269	PDBTrRosetta	16	4	6	344576	5	263	0.5455	0.0223	0.9992	0.0429
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	1.tsv	result/homeo_answer.tsv	344850	79058	269	PDBTrRosetta	16	4	12	344576	5	257	0.7059	0.0446	0.9992	0.0839
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	2.tsv	result/homeo_answer.tsv	344850	153294	269	PDBTrRosetta	16	4	5	344576	5	264	0.5000	0.0186	0.9992	0.0358
