index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1t56a1	0.05	0	result/homeo_answer	344850	8965	269	PDBTrRosetta	16	4	79	335695	8886	190	0.0088	0.2937	0.9737	0.0171
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	10	result/homeo_answer	344850	509	269	PDBTrRosetta	16	4	4	344076	505	265	0.0079	0.0149	0.9978	0.0103
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	14	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	11	result/homeo_answer	344850	1691	269	PDBTrRosetta	16	4	1	342891	1690	268	0.0006	0.0037	0.9943	0.0010
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	15	result/homeo_answer	344850	227	269	PDBTrRosetta	16	4	1	344355	226	268	0.0044	0.0037	0.9986	0.0040
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	20	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	12	result/homeo_answer	344850	4813	269	PDBTrRosetta	16	4	4	339772	4809	265	0.0008	0.0149	0.9853	0.0016
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	19	result/homeo_answer	344850	205	269	PDBTrRosetta	16	4	3	344379	202	266	0.0146	0.0112	0.9986	0.0127
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	18	result/homeo_answer	344850	971	269	PDBTrRosetta	16	4	1	343611	970	268	0.0010	0.0037	0.9964	0.0016
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	24	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	13	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	31	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	22	result/homeo_answer	344850	44	269	PDBTrRosetta	16	4	2	344539	42	267	0.0455	0.0074	0.9991	0.0128
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	1	result/homeo_answer	344850	4240	269	PDBTrRosetta	16	4	4	340345	4236	265	0.0009	0.0149	0.9869	0.0018
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	17	result/homeo_answer	344850	414	269	PDBTrRosetta	16	4	4	344171	410	265	0.0097	0.0149	0.9980	0.0117
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	29	result/homeo_answer	344850	44	269	PDBTrRosetta	16	4	38	344575	6	231	0.8636	0.1413	0.9993	0.2428
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	21	result/homeo_answer	344850	10	269	PDBTrRosetta	16	4	1	344572	9	268	0.1000	0.0037	0.9992	0.0072
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	16	result/homeo_answer	344850	1145	269	PDBTrRosetta	16	4	2	343438	1143	267	0.0017	0.0074	0.9959	0.0028
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	36	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	23	result/homeo_answer	344850	28	269	PDBTrRosetta	16	4	1	344554	27	268	0.0357	0.0037	0.9991	0.0067
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	34	result/homeo_answer	344850	445	269	PDBTrRosetta	16	4	3	344139	442	266	0.0067	0.0112	0.9979	0.0084
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	0	result/homeo_answer	344850	20799	269	PDBTrRosetta	16	4	7	323789	20792	262	0.0003	0.0260	0.9389	0.0007
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	27	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	25	result/homeo_answer	344850	240	269	PDBTrRosetta	16	4	0	344341	240	269	0.0000	0.0000	0.9985	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	33	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	43	result/homeo_answer	344850	19	269	PDBTrRosetta	16	4	2	344564	17	267	0.1053	0.0074	0.9992	0.0139
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	26	result/homeo_answer	344850	1116	269	PDBTrRosetta	16	4	4	343469	1112	265	0.0036	0.0149	0.9960	0.0058
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	3	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	28	result/homeo_answer	344850	281	269	PDBTrRosetta	16	4	4	344304	277	265	0.0142	0.0149	0.9984	0.0145
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	2	result/homeo_answer	344850	7031	269	PDBTrRosetta	16	4	3	337553	7028	266	0.0004	0.0112	0.9788	0.0008
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1t56a1	0.1	0	result/homeo_answer	344850	107759	269	PDBTrRosetta	16	4	60	236882	107699	209	0.0006	0.2230	0.6871	0.0011
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	40	result/homeo_answer	344850	160	269	PDBTrRosetta	16	4	70	344491	90	199	0.4375	0.2602	0.9992	0.3263
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1t56a1	0.05	2	result/homeo_answer	344850	112497	269	PDBTrRosetta	16	4	140	232224	112357	129	0.0012	0.5204	0.6738	0.0025
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	32	result/homeo_answer	344850	146	269	PDBTrRosetta	16	4	1	344436	145	268	0.0068	0.0037	0.9988	0.0048
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	42	result/homeo_answer	344850	243	269	PDBTrRosetta	16	4	41	344379	202	228	0.1687	0.1524	0.9988	0.1602
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	30	result/homeo_answer	344850	99	269	PDBTrRosetta	16	4	2	344484	97	267	0.0202	0.0074	0.9989	0.0109
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	37	result/homeo_answer	344850	2721	269	PDBTrRosetta	16	4	6	341866	2715	263	0.0022	0.0223	0.9914	0.0040
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	46	result/homeo_answer	344850	30	269	PDBTrRosetta	16	4	3	344554	27	266	0.1000	0.0112	0.9992	0.0201
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	39	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	38	result/homeo_answer	344850	859	269	PDBTrRosetta	16	4	2	343724	857	267	0.0023	0.0074	0.9967	0.0035
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	35	result/homeo_answer	344850	190	269	PDBTrRosetta	16	4	1	344392	189	268	0.0053	0.0037	0.9987	0.0044
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	41	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	12	result/homeo_answer	344850	98	269	PDBTrRosetta	16	4	4	344487	94	265	0.0408	0.0149	0.9990	0.0218
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	8	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	47	result/homeo_answer	344850	1901	269	PDBTrRosetta	16	4	3	342683	1898	266	0.0016	0.0112	0.9937	0.0028
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	10	result/homeo_answer	344850	1801	269	PDBTrRosetta	16	4	4	342784	1797	265	0.0022	0.0149	0.9940	0.0039
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	45	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	44	result/homeo_answer	344850	264	269	PDBTrRosetta	16	4	2	344319	262	267	0.0076	0.0074	0.9985	0.0075
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	5	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	9	result/homeo_answer	344850	0	269	PDBTrRosetta	16	4	0	344581	0	269	NaN	0.0000	0.9992	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	48	result/homeo_answer	344850	771	269	PDBTrRosetta	16	4	2	343812	769	267	0.0026	0.0074	0.9970	0.0038
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	4	result/homeo_answer	344850	16	269	PDBTrRosetta	16	4	3	344568	13	266	0.1875	0.0112	0.9992	0.0211
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	6	result/homeo_answer	344850	1054	269	PDBTrRosetta	16	4	1	343528	1053	268	0.0009	0.0037	0.9962	0.0015
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	49	result/homeo_answer	344850	868	269	PDBTrRosetta	16	4	1	343714	867	268	0.0012	0.0037	0.9967	0.0018
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	16	result/homeo_answer	344850	795	269	PDBTrRosetta	16	4	4	343790	791	265	0.0050	0.0149	0.9969	0.0075
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	21	result/homeo_answer	344850	250	269	PDBTrRosetta	16	4	4	344335	246	265	0.0160	0.0149	0.9985	0.0154
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.05	7	result/homeo_answer	344850	3811	269	PDBTrRosetta	16	4	6	340776	3805	263	0.0016	0.0223	0.9882	0.0029
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	11	result/homeo_answer	344850	194	269	PDBTrRosetta	16	4	3	344390	191	266	0.0155	0.0112	0.9987	0.0130
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1ui5a1	0.1	14	result/homeo_answer	344850	762	269	PDBTrRosetta	16	4	4	343823	758	265	0.0052	0.0149	0.9970	0.0078
