a	b	ranking	n	d_sens1fp	ci_lo	ci_hi	win	loss	d_top1	runtime_ratio
orig_I1	orig_I0	idf	246	-0.0245	-0.0395	-0.0115	23	57	-0.0203	0.9991
orig_I1	orig_I0	coverage	246	0.0053	-0.0077	0.0182	30	12	0.0122	0.9991
orig_I2	orig_I0_sens	idf	246	-0.0374	-0.0544	-0.0227	24	71	-0.0366	0.9857
orig_I2	orig_I0_sens	coverage	246	0.0202	0.0037	0.0386	37	13	0.0244	0.9857
orig_I0_sens	orig_I0	idf	246	0.0300	0.0164	0.0432	84	13	-0.0041	1.7991
orig_I0_sens	orig_I0	coverage	246	0.0039	-0.0084	0.0153	41	15	0.0000	1.7991
orig_I0_aa	orig_I0	idf	246	-0.1379	-0.1664	-0.1119	15	142	-0.1992	9.5659
orig_I0_aa	orig_I0	coverage	246	-0.0216	-0.0542	0.0085	62	81	-0.0528	9.5659
orig_I3	orig_I0	idf	246	-0.1343	-0.1614	-0.1096	17	142	-0.1951	9.6199
orig_I3	orig_I0	coverage	246	-0.0443	-0.0776	-0.0131	57	97	-0.0772	9.6199
orig_I4	orig_I0	idf	246	-0.1526	-0.1826	-0.1232	17	142	-0.2276	9.6552
orig_I4	orig_I0	coverage	246	-0.0553	-0.0864	-0.0240	55	99	-0.1057	9.6552
mut_I0	orig_I0	idf	246	-0.1321	-0.1604	-0.1047	10	129	-0.2154	0.9960
mut_I0	orig_I0	coverage	246	-0.2253	-0.2673	-0.1862	7	150	-0.4390	0.9960
mut_I0_star	mut_I0	idf	246	0.1006	0.0785	0.1243	117	10	0.1667	1.0602
mut_I0_star	mut_I0	coverage	246	0.2244	0.1869	0.2621	150	6	0.4472	1.0602
mut_I0_aa	mut_I0	idf	246	-0.0345	-0.0573	-0.0116	40	83	-0.0325	9.6092
mut_I0_aa	mut_I0	coverage	246	0.1967	0.1545	0.2404	142	30	0.3862	9.6092
mut_I3	mut_I0	idf	246	-0.0307	-0.0529	-0.0088	44	81	-0.0285	9.6756
mut_I3	mut_I0	coverage	246	0.1745	0.1345	0.2169	135	30	0.3577	9.6756
mut_I4	mut_I0	idf	246	-0.0391	-0.0617	-0.0174	38	85	-0.0488	9.7193
mut_I4	mut_I0	coverage	246	0.1626	0.1239	0.2019	127	32	0.3293	9.7193
mut_I1	mut_I0	idf	246	-0.0167	-0.0340	0.0001	25	46	-0.0407	1.0039
mut_I1	mut_I0	coverage	246	0.0047	-0.0066	0.0163	11	8	0.0081	1.0039
mut_I2	mut_I0_sens	idf	246	-0.0334	-0.0507	-0.0162	18	58	-0.0407	0.9925
mut_I2	mut_I0_sens	coverage	246	0.0133	0.0018	0.0267	17	9	0.0325	0.9925
