config	query	ranking	n_true	runtime	top1	sens1fp	any_tp	hits
mut_I0	M0346	idf	37	0.2500	1.0000	0.0270	1.0000	496
mut_I0	M0346	coverage	37	0.2500	0.0000	0.0000	1.0000	496
mut_I0	M0376	idf	41	0.4200	1.0000	0.6341	1.0000	426
mut_I0	M0376	coverage	41	0.4200	0.0000	0.0000	1.0000	426
mut_I0	M0431	idf	3	0.2500	1.0000	0.6667	1.0000	401
mut_I0	M0431	coverage	3	0.2500	0.0000	0.0000	1.0000	401
mut_I0	M0243	idf	11	0.4000	1.0000	1.0000	1.0000	442
mut_I0	M0243	coverage	11	0.4000	0.0000	0.0000	1.0000	442
mut_I0	M0294	idf	108	0.5600	1.0000	0.0185	1.0000	462
mut_I0	M0294	coverage	108	0.5600	0.0000	0.0000	1.0000	462
mut_I0	M0895	idf	121	0.1400	1.0000	0.0248	1.0000	279
mut_I0	M0895	coverage	121	0.1400	0.0000	0.0000	1.0000	279
mut_I0	M0104	idf	4	0.4700	1.0000	1.0000	1.0000	475
mut_I0	M0104	coverage	4	0.4700	0.0000	0.0000	1.0000	475
mut_I0	M0869	idf	5	0.1900	0.0000	0.0000	1.0000	498
mut_I0	M0869	coverage	5	0.1900	1.0000	0.2000	1.0000	498
mut_I0	M0075	idf	2	0.4200	0.0000	0.0000	1.0000	471
mut_I0	M0075	coverage	2	0.4200	0.0000	0.0000	1.0000	471
mut_I0	M0134	idf	55	0.2900	1.0000	0.9273	1.0000	494
mut_I0	M0134	coverage	55	0.2900	0.0000	0.0000	1.0000	494
mut_I0	M0206	idf	75	0.4400	1.0000	0.6667	1.0000	481
mut_I0	M0206	coverage	75	0.4400	0.0000	0.0000	1.0000	481
mut_I0	M0044	idf	67	0.5600	1.0000	0.9701	1.0000	460
mut_I0	M0044	coverage	67	0.5600	1.0000	0.0299	1.0000	460
mut_I0	M0484	idf	100	0.5500	1.0000	1.0000	1.0000	448
mut_I0	M0484	coverage	100	0.5500	1.0000	0.6400	1.0000	448
mut_I0	M0334	idf	22	0.2100	1.0000	0.3636	1.0000	392
mut_I0	M0334	coverage	22	0.2100	1.0000	0.2727	1.0000	392
mut_I0	M0412	idf	5	0.3200	1.0000	0.6000	1.0000	493
mut_I0	M0412	coverage	5	0.3200	0.0000	0.0000	1.0000	493
mut_I0	M0931	idf	70	0.2500	1.0000	0.0143	1.0000	494
