config	ranking	n	top1	sens1fp	any_tp	hits	runtime
mut_I0	coverage	246	0.2805	0.0760	0.9715	465.1667	0.3167
mut_I0	idf	246	0.6260	0.3394	0.9715	465.1667	0.3167
mut_I0_aa	coverage	246	0.6667	0.2727	0.9878	449.7967	3.0429
mut_I0_aa	idf	246	0.5935	0.3049	0.9878	449.7967	3.0429
mut_I0_sens	coverage	246	0.2642	0.0672	0.9756	465.6545	0.5667
mut_I0_sens	idf	246	0.6382	0.3725	0.9756	465.6545	0.5667
mut_I0_star	coverage	246	0.7276	0.3004	0.9919	468.6301	0.3357
mut_I0_star	idf	246	0.7927	0.4400	0.9919	468.6301	0.3357
mut_I1	coverage	246	0.2886	0.0807	0.9634	365.1748	0.3179
mut_I1	idf	246	0.5854	0.3227	0.9634	365.1748	0.3179
mut_I2	coverage	246	0.2967	0.0806	0.9634	328.1138	0.5624
mut_I2	idf	246	0.5976	0.3391	0.9634	328.1138	0.5624
mut_I3	coverage	246	0.6382	0.2505	0.9797	445.1098	3.0639
mut_I3	idf	246	0.5976	0.3087	0.9797	445.1098	3.0639
mut_I4	coverage	246	0.6098	0.2385	0.9837	423.1138	3.0778
mut_I4	idf	246	0.5772	0.3003	0.9837	423.1138	3.0778
orig_I0	coverage	246	0.7195	0.3013	0.9919	466.8821	0.3179
orig_I0	idf	246	0.8415	0.4715	0.9919	466.8821	0.3179
orig_I0_aa	coverage	246	0.6667	0.2797	0.9878	450.2967	3.0413
orig_I0_aa	idf	246	0.6423	0.3336	0.9878	450.2967	3.0413
orig_I0_sens	coverage	246	0.7195	0.3052	0.9919	466.4675	0.5720
orig_I0_sens	idf	246	0.8374	0.5014	0.9919	466.4675	0.5720
orig_I1	coverage	246	0.7317	0.3066	0.9878	373.1870	0.3176
orig_I1	idf	246	0.8211	0.4470	0.9878	373.1870	0.3176
orig_I2	coverage	246	0.7439	0.3253	0.9837	336.0976	0.5638
orig_I2	idf	246	0.8008	0.4640	0.9837	336.0976	0.5638
orig_I3	coverage	246	0.6423	0.2570	0.9837	444.7195	3.0584
orig_I3	idf	246	0.6463	0.3372	0.9837	444.7195	3.0584
orig_I4	coverage	246	0.6138	0.2460	0.9797	423.2358	3.0696
orig_I4	idf	246	0.6138	0.3189	0.9797	423.2358	3.0696
