a	b	ranking	n	d_sens1fp	ci_lo	ci_hi	win	loss	d_top1	runtime_ratio
orig_I1	orig_I0	idf	246	-0.0249	-0.0398	-0.0118	23	56	-0.0203	1.0970
orig_I1	orig_I0	coverage	246	0.0051	-0.0078	0.0179	29	12	0.0122	1.0970
orig_I2	orig_I0_sens	idf	246	-0.0374	-0.0542	-0.0223	24	73	-0.0366	1.0786
orig_I2	orig_I0_sens	coverage	246	0.0261	0.0122	0.0436	38	11	0.0325	1.0786
orig_I0_sens	orig_I0	idf	246	0.0294	0.0158	0.0429	86	14	-0.0041	1.5663
orig_I0_sens	orig_I0	coverage	246	0.0030	-0.0091	0.0142	41	16	0.0000	1.5663
orig_I0_aa	orig_I0	idf	246	-0.1374	-0.1656	-0.1116	17	141	-0.2033	9.6259
orig_I0_aa	orig_I0	coverage	246	-0.0214	-0.0540	0.0083	62	82	-0.0488	9.6259
orig_I3	orig_I0	idf	246	-0.1338	-0.1609	-0.1091	19	141	-0.1992	9.4976
orig_I3	orig_I0	coverage	246	-0.0439	-0.0774	-0.0126	57	97	-0.0732	9.4976
orig_I4	orig_I0	idf	246	-0.1489	-0.1788	-0.1205	20	140	-0.2236	9.9530
orig_I4	orig_I0	coverage	246	-0.0461	-0.0782	-0.0147	59	98	-0.0854	9.9530
mut_I0	orig_I0	idf	246	-0.1321	-0.1608	-0.1049	10	130	-0.2195	1.1085
mut_I0	orig_I0	coverage	246	-0.2250	-0.2668	-0.1855	8	149	-0.4390	1.1085
mut_I0_star	mut_I0	idf	246	0.1021	0.0801	0.1266	116	13	0.1748	0.6649
mut_I0_star	mut_I0	coverage	246	0.2241	0.1863	0.2620	149	7	0.4472	0.6649
mut_I0_aa	mut_I0	idf	246	-0.0325	-0.0541	-0.0103	40	81	-0.0244	9.4810
mut_I0_aa	mut_I0	coverage	246	0.1953	0.1528	0.2396	143	30	0.3902	9.4810
mut_I3	mut_I0	idf	246	-0.0301	-0.0516	-0.0080	43	80	-0.0244	6.1837
mut_I3	mut_I0	coverage	246	0.1733	0.1337	0.2158	137	30	0.3659	6.1837
mut_I4	mut_I0	idf	246	-0.0368	-0.0587	-0.0162	36	82	-0.0447	6.2232
mut_I4	mut_I0	coverage	246	0.1669	0.1279	0.2067	132	31	0.3496	6.2232
mut_I1	mut_I0	idf	246	-0.0158	-0.0330	0.0012	24	46	-0.0366	0.9726
mut_I1	mut_I0	coverage	246	0.0047	-0.0066	0.0163	11	8	0.0081	0.9726
mut_I2	mut_I0_sens	idf	246	-0.0359	-0.0535	-0.0185	17	61	-0.0447	0.6467
mut_I2	mut_I0_sens	coverage	246	0.0137	0.0018	0.0275	18	10	0.0325	0.6467
