config	ranking	n	top1	sens1fp	any_tp	hits	runtime
mut_I0	coverage	246	0.2805	0.0762	0.9715	465.1748	0.8021
mut_I0	idf	246	0.6220	0.3394	0.9715	465.1748	0.8021
mut_I0_aa	coverage	246	0.6707	0.2715	0.9878	449.7927	7.6048
mut_I0_aa	idf	246	0.5976	0.3069	0.9878	449.7927	7.6048
mut_I0_sens	coverage	246	0.2642	0.0673	0.9756	465.6585	1.3728
mut_I0_sens	idf	246	0.6382	0.3733	0.9756	465.6585	1.3728
mut_I0_star	coverage	246	0.7276	0.3003	0.9919	468.6220	0.5333
mut_I0_star	idf	246	0.7967	0.4415	0.9919	468.6220	0.5333
mut_I1	coverage	246	0.2886	0.0809	0.9634	365.1789	0.7802
mut_I1	idf	246	0.5854	0.3236	0.9634	365.1789	0.7802
mut_I2	coverage	246	0.2967	0.0810	0.9634	328.1260	0.8878
mut_I2	idf	246	0.5935	0.3375	0.9634	328.1260	0.8878
mut_I3	coverage	246	0.6463	0.2495	0.9797	445.1545	4.9600
mut_I3	idf	246	0.5976	0.3093	0.9797	445.1545	4.9600
mut_I4	coverage	246	0.6301	0.2431	0.9837	423.2480	4.9917
mut_I4	idf	246	0.5772	0.3026	0.9837	423.2480	4.9917
orig_I0	coverage	246	0.7195	0.3012	0.9919	466.8943	0.7236
orig_I0	idf	246	0.8415	0.4716	0.9919	466.8943	0.7236
orig_I0_aa	coverage	246	0.6707	0.2798	0.9878	450.2886	6.9654
orig_I0_aa	idf	246	0.6382	0.3341	0.9878	450.2886	6.9654
orig_I0_sens	coverage	246	0.7195	0.3043	0.9919	466.5894	1.1334
orig_I0_sens	idf	246	0.8374	0.5009	0.9919	466.5894	1.1334
orig_I1	coverage	246	0.7317	0.3063	0.9878	373.1789	0.7938
orig_I1	idf	246	0.8211	0.4467	0.9878	373.1789	0.7938
orig_I2	coverage	246	0.7520	0.3303	0.9837	336.1057	1.2224
orig_I2	idf	246	0.8008	0.4635	0.9837	336.1057	1.2224
orig_I3	coverage	246	0.6463	0.2573	0.9837	444.6504	6.8726
orig_I3	idf	246	0.6423	0.3377	0.9837	444.6504	6.8726
orig_I4	coverage	246	0.6341	0.2551	0.9797	423.3252	7.2022
orig_I4	idf	246	0.6179	0.3226	0.9797	423.3252	7.2022
