config	query	hits	answer_len	tp	precision	recall	f1	runtime
unfiltered	M0003	6000	95	87	0.0450	0.9158	0.0858	1.91
unfiltered	M0010	6000	15	14	0.0065	0.9333	0.0129	2.09
unfiltered	M0019	6000	22	22	0.0142	1.0000	0.0280	3.14
unfiltered	M0020	6000	120	111	0.0623	0.9250	0.1167	2.48
unfiltered	M0028	6000	22	20	0.0152	0.9091	0.0299	2.09
unfiltered	M0031	6000	321	312	0.1537	0.9720	0.2654	2.39
unfiltered	M0033	6000	15	14	0.0076	0.9333	0.0152	2.68
unfiltered	M0040	6000	61	15	0.0082	0.2459	0.0158	2.05
unfiltered	M0043	6000	22	21	0.0118	0.9545	0.0232	2.09
unfiltered	M0044	6000	75	70	0.0360	0.9333	0.0693	8.00
unfiltered	M0048	6000	104	98	0.0593	0.9423	0.1116	3.04
unfiltered	M0054	5581	46	44	0.0241	0.9565	0.0469	2.21
unfiltered	M0058	6000	42	33	0.0207	0.7857	0.0404	3.27
unfiltered	M0065	6000	56	44	0.0214	0.7857	0.0417	1.87
unfiltered	M0066	6000	60	36	0.0148	0.6000	0.0290	2.09
unfiltered	M0067	6000	42	13	0.0074	0.3095	0.0145	2.76
unfiltered	M0070	2980	172	10	0.0125	0.0581	0.0206	1.18
unfiltered	M0075	6000	3	3	0.0015	1.0000	0.0031	4.73
unfiltered	M0076	6000	102	92	0.0517	0.9020	0.0979	2.07
unfiltered	M0077	6000	108	81	0.0509	0.7500	0.0953	1.10
unfiltered	M0081	6000	10	10	0.0056	1.0000	0.0112	4.68
unfiltered	M0085	6000	12	11	0.0063	0.9167	0.0125	3.10
unfiltered	M0087	6000	72	64	0.0354	0.8889	0.0681	2.10
unfiltered	M0090	6000	61	60	0.0324	0.9836	0.0627	8.95
unfiltered	M0092	6000	43	41	0.0188	0.9535	0.0369	3.10
unfiltered	M0093	6000	24	24	0.0142	1.0000	0.0279	4.50
unfiltered	M0096	3668	24	8	0.0069	0.3333	0.0135	1.25
unfiltered	M0100	6000	381	281	0.2038	0.7375	0.3193	2.48
unfiltered	M0104	6000	12	5	0.0029	0.4167	0.0058	5.62
unfiltered	M0107	6000	78	18	0.0087	0.2308	0.0168	2.00
unfiltered	M0108	6000	178	60	0.0299	0.3371	0.0549	1.87
unfiltered	M0109	6000	212	202	0.1107	0.9528	0.1984	3.85
unfiltered	M0111	6000	11	7	0.0036	0.6364	0.0071	3.04
unfiltered	M0117	5893	121	112	0.0490	0.9256	0.0930	1.81
unfiltered	M0118	6000	108	107	0.0575	0.9907	0.1087	3.56
unfiltered	M0121	6000	55	17	0.0098	0.3091	0.0190	2.43
unfiltered	M0122	6000	29	25	0.0128	0.8621	0.0252	1.74
unfiltered	M0123	6000	29	10	0.0064	0.3448	0.0125	4.48
unfiltered	M0125	6000	40	37	0.0204	0.9250	0.0399	1.61
unfiltered	M0131	6000	48	38	0.0189	0.7917	0.0368	1.34
unfiltered	M0134	6000	56	56	0.0253	1.0000	0.0493	1.67
unfiltered	M0136	6000	11	11	0.0067	1.0000	0.0132	3.64
unfiltered	M0139	4585	78	46	0.0340	0.5897	0.0644	2.59
unfiltered	M0141	6000	27	9	0.0051	0.3333	0.0101	6.89
unfiltered	M0142	6000	15	8	0.0050	0.5333	0.0099	2.51
unfiltered	M0154	2933	63	60	0.0571	0.9524	0.1077	1.46
unfiltered	M0159	6000	161	148	0.0724	0.9193	0.1342	2.62
unfiltered	M0163	6000	55	52	0.0276	0.9455	0.0536	2.40
unfiltered	M0172	6000	20	19	0.0090	0.9500	0.0179	1.88
unfiltered	M0175	6000	830	821	0.2660	0.9892	0.4192	2.27
unfiltered	M0178	6000	303	203	0.1063	0.6700	0.1835	2.92
unfiltered	M0181	6000	9	9	0.0054	1.0000	0.0107	5.78
unfiltered	M0188	6000	120	25	0.0166	0.2083	0.0308	1.51
unfiltered	M0194	6000	70	69	0.0373	0.9857	0.0718	2.57
unfiltered	M0201	6000	45	16	0.0103	0.3556	0.0200	2.20
unfiltered	M0202	1818	1	1	0.0021	1.0000	0.0041	0.98
unfiltered	M0205	6000	263	260	0.1345	0.9886	0.2368	3.28
unfiltered	M0206	6000	80	78	0.0466	0.9750	0.0889	9.62
unfiltered	M0210	6000	224	148	0.0814	0.6607	0.1449	1.72
unfiltered	M0212	6000	97	62	0.0344	0.6392	0.0653	3.30
unfiltered	M0216	6000	1167	1156	0.4173	0.9906	0.5872	1.45
unfiltered	M0227	6000	40	23	0.0133	0.5750	0.0260	1.52
unfiltered	M0228	6000	122	29	0.0121	0.2377	0.0231	2.64
unfiltered	M0231	6000	16	16	0.0084	1.0000	0.0167	2.55
unfiltered	M0234	6000	19	15	0.0076	0.7895	0.0150	3.34
unfiltered	M0235	2591	18	12	0.0181	0.6667	0.0352	1.29
unfiltered	M0237	6000	616	93	0.0801	0.1510	0.1047	2.57
unfiltered	M0243	6000	14	14	0.0084	1.0000	0.0166	2.39
unfiltered	M0250	6000	15	15	0.0081	1.0000	0.0161	1.47
unfiltered	M0253	6000	240	237	0.1284	0.9875	0.2272	4.77
unfiltered	M0254	6000	19	19	0.0101	1.0000	0.0201	7.69
unfiltered	M0257	6000	256	250	0.1267	0.9766	0.2243	3.21
unfiltered	M0260	6000	22	22	0.0115	1.0000	0.0228	3.18
unfiltered	M0261	6000	23	20	0.0106	0.8696	0.0209	1.72
unfiltered	M0262	6000	20	20	0.0115	1.0000	0.0227	7.57
unfiltered	M0263	6000	51	22	0.0124	0.4314	0.0241	1.75
unfiltered	M0266	6000	47	43	0.0285	0.9149	0.0552	3.48
unfiltered	M0272	6000	45	39	0.0215	0.8667	0.0419	2.82
unfiltered	M0278	2294	105	98	0.0981	0.9333	0.1775	1.08
