config	qid	motif	hits	answer_len	tp	precision	recall	f1	runtime
unfiltered	A2	zinc	7425	761	741	0.4924	0.9737	0.6540	0.34
protocol	A2	zinc	746	761	700	0.9655	0.9198	0.9421	0.16
confident	A2	zinc	4304	761	706	0.9605	0.9277	0.9439	0.31
confident_sens	A2	zinc	6753	761	745	0.9539	0.9790	0.9663	0.39
unfiltered	B2	zinc	7171	761	740	0.5510	0.9724	0.7034	0.30
protocol	B2	zinc	756	761	704	0.9591	0.9251	0.9418	0.14
confident	B2	zinc	5744	761	729	0.9033	0.9580	0.9298	0.29
confident_sens	B2	zinc	7103	761	744	0.8986	0.9777	0.9364	0.34
unfiltered	C2	serine	556	124	114	0.2452	0.9194	0.3871	0.17
protocol	C2	serine	113	124	107	0.9640	0.8629	0.9106	0.17
confident	C2	serine	116	124	107	0.9640	0.8629	0.9106	0.16
confident_sens	C2	serine	116	124	107	0.9640	0.8629	0.9106	0.16
unfiltered	D2	zinc	404416	761	761	0.0376	1.0000	0.0724	12.37
protocol	D2	zinc	697	761	665	0.9722	0.8739	0.9204	0.51
confident	D2	zinc	407	761	271	0.9963	0.3561	0.5247	11.14
confident_sens	D2	zinc	423	761	278	0.9929	0.3653	0.5341	11.31
