config	query	answers	sens_at_1fp	n_exact	fp1_exact	found_exact	n_sub1_cons	fp1_sub1_cons	found_sub1_cons	n_sub1_other	fp1_sub1_other	found_sub1_other
aa_blosum62	M0003	95	0.9158	20	20	20	71	67	68	1	0	0
aa_blosum62	M0010	15	0.9333	13	13	13	1	1	1	0	0	0
aa_blosum62	M0019	22	1.0000	22	22	22	0	0	0	0	0	0
aa_blosum62	M0020	120	0.8750	10	9	10	87	82	85	8	7	8
aa_blosum62	M0028	22	0.9091	20	20	20	0	0	0	0	0	0
aa_blosum62	M0031	321	0.8162	261	233	242	12	12	12	7	4	7
aa_blosum62	M0033	15	0.1333	8	2	8	1	0	1	3	0	3
aa_blosum62	M0040	61	0.2131	52	13	13	0	0	0	1	0	0
aa_blosum62	M0043	22	0.9091	14	14	14	0	0	0	6	6	6
aa_blosum62	M0044	75	0.8667	15	13	13	7	7	7	17	16	17
aa_blosum62	M0048	104	0.7308	76	58	64	15	14	15	3	0	3
aa_blosum62	M0054	46	0.6087	36	25	35	4	3	4	5	0	4
aa_blosum62	M0058	42	0.2619	9	3	4	0	0	0	11	0	6
aa_blosum62	M0065	56	0.6964	33	26	26	1	1	1	20	12	13
aa_blosum62	M0066	60	0.1167	18	5	15	26	2	17	3	0	2
aa_blosum62	M0067	42	0.4286	3	3	3	7	3	7	0	0	0
aa_blosum62	M0070	172	0.0465	8	8	8	0	0	0	5	0	1
aa_blosum62	M0075	3	0.6667	3	2	3	0	0	0	0	0	0
aa_blosum62	M0076	102	0.3725	98	35	81	0	0	0	0	0	0
aa_blosum62	M0077	108	0.6574	57	50	52	2	1	2	17	8	11
aa_blosum62	M0081	10	0.6000	5	3	5	0	0	0	1	1	1
aa_blosum62	M0085	12	0.8333	10	8	9	1	1	1	1	1	1
aa_blosum62	M0087	72	0.8889	42	42	42	1	1	1	2	2	2
aa_blosum62	M0090	61	0.9180	47	45	45	0	0	0	6	6	6
aa_blosum62	M0092	43	0.8605	37	34	37	0	0	0	5	3	4
aa_blosum62	M0093	24	0.9583	5	4	5	6	6	6	0	0	0
aa_blosum62	M0096	24	0.0833	2	2	2	0	0	0	20	0	4
