config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
master	M0003	6000	1935	95	19	1	76	0.9500	0.2000	2.30	65656
master	M0010	6000	1844	15	14	1	1	0.9333	0.9333	2.52	86088
master	M0019	6000	1703	22	22	1	0	0.9565	1.0000	3.10	82592
master	M0020	6000	1658	120	104	1	16	0.9905	0.8667	2.22	125444
master	M0028	6000	1479	22	20	1	2	0.9524	0.9091	2.19	84216
master	M0031	6000	1845	321	256	1	65	0.9961	0.7975	3.09	77844
master	M0033	6000	1842	15	3	1	12	0.7500	0.2000	2.78	156208
master	M0040	6000	1831	61	10	1	51	0.9091	0.1639	3.44	121316
master	M0043	6000	1881	22	21	1	1	0.9545	0.9545	15.28	115260
master	M0044	6000	1939	75	66	1	9	0.9851	0.8800	30.07	298112
master	M0048	6000	1658	104	71	1	33	0.9861	0.6827	3.32	99808
master	M0054	5581	1829	46	34	1	12	0.9714	0.7391	3.91	55376
master	M0058	6000	1658	42	7	1	35	0.8750	0.1667	3.80	186764
master	M0065	6000	2394	56	36	1	20	0.9730	0.6429	2.01	86848
master	M0066	6000	2408	60	17	1	43	0.9444	0.2833	2.05	79400
master	M0067	6000	1869	42	13	1	29	0.9286	0.3095	2.63	79392
master	M0070	2980	799	172	8	1	164	0.8889	0.0465	1.48	70544
master	M0075	6000	1808	3	2	1	1	0.6667	0.6667	5.21	187612
master	M0076	6000	1772	102	37	1	65	0.9737	0.3627	2.45	57120
master	M0077	6000	1616	108	56	1	52	0.9825	0.5185	1.42	62436
master	M0081	6000	1713	10	5	1	5	0.8333	0.5000	5.51	216436
master	M0085	6000	1758	12	9	1	3	0.9000	0.7500	3.70	203304
master	M0087	6000	1815	72	64	1	8	0.9846	0.8889	15.40	113816
master	M0090	6000	1897	61	60	1	1	0.9836	0.9836	39.26	238636
master	M0092	6000	2229	43	40	1	3	0.9756	0.9302	4.11	101112
master	M0093	4421	1272	24	24	1	0	0.9600	1.0000	2.73	81068
master	M0096	3668	1162	24	0	1	24	0.0000	0.0000	1.83	77520
master	M0100	6000	1245	381	131	1	250	0.9924	0.3438	2.34	70068
master	M0104	6000	1526	12	5	1	7	0.8333	0.4167	5.36	199040
master	M0107	6000	2203	78	6	1	72	0.8571	0.0769	3.24	91276
master	M0108	6000	1675	178	1	1	177	0.5000	0.0056	2.34	77216
master	M0109	6000	1891	212	147	1	65	0.9932	0.6934	3.77	110928
master	M0111	6000	1869	11	3	1	8	0.7500	0.2727	3.74	155784
master	M0117	5893	2288	121	47	1	74	0.9792	0.3884	2.12	84080
master	M0118	6000	1834	108	89	1	19	0.9889	0.8241	4.40	63864
master	M0121	6000	1785	55	8	1	47	0.8889	0.1455	2.97	116664
master	M0122	6000	1898	29	19	1	10	0.9500	0.6552	2.34	63656
master	M0123	6000	1647	29	7	1	22	0.8750	0.2414	4.36	216528
master	M0125	6000	1844	40	37	1	3	0.9737	0.9250	1.95	65276
master	M0131	6000	2074	48	37	1	11	0.9737	0.7708	1.81	70540
master	M0134	6000	2214	56	52	1	4	0.9811	0.9286	2.44	58248
master	M0136	6000	1783	11	10	1	1	0.9091	0.9091	22.68	140972
master	M0139	4585	1351	78	24	1	54	0.9600	0.3077	2.92	95800
master	M0141	6000	1769	27	5	1	22	0.8333	0.1852	28.84	218320
master	M0142	6000	1946	15	7	1	8	0.8750	0.4667	2.44	87444
master	M0154	2933	1051	63	46	1	17	0.9787	0.7302	2.00	52384
master	M0159	6000	1912	161	131	1	30	0.9924	0.8137	2.67	176052
master	M0163	6000	2064	55	51	1	4	0.9808	0.9273	2.64	67200
master	M0172	6000	2089	20	9	1	11	0.9000	0.4500	1.71	59176
master	M0175	6000	3090	830	13	1	817	0.9286	0.0157	2.03	75188
master	M0178	6000	1861	303	129	1	174	0.9923	0.4257	2.73	250824
master	M0181	6000	1623	9	8	1	1	0.8889	0.8889	28.52	215960
master	M0188	6000	1579	120	8	1	112	0.8889	0.0667	1.80	63748
master	M0194	6000	1806	70	41	1	29	0.9762	0.5857	3.66	118368
master	M0201	6000	1611	45	9	1	36	0.9000	0.2000	2.42	98048
master	M0202	1818	484	1	1	1	0	0.5000	1.0000	1.19	156436
master	M0205	6000	2018	263	252	1	11	0.9960	0.9582	3.26	124408
master	M0206	6000	1732	80	52	1	28	0.9811	0.6500	35.98	180632
master	M0210	6000	1708	224	13	1	211	0.9286	0.0580	2.38	56696
master	M0212	6000	1804	97	58	1	39	0.9831	0.5979	3.44	186456
master	M0216	6000	2774	1167	1148	1	19	0.9991	0.9837	1.40	77528
master	M0227	6000	1694	40	10	1	30	0.9091	0.2500	2.16	100248
master	M0228	6000	2506	122	16	1	106	0.9412	0.1311	2.52	103404
master	M0231	6000	2049	16	16	1	0	0.9412	1.0000	2.16	180368
master	M0234	6000	2212	19	5	1	14	0.8333	0.2632	4.58	94708
master	M0235	2591	664	18	1	1	17	0.5000	0.0556	0.91	46216
master	M0237	6000	787	616	89	1	527	0.9889	0.1445	2.15	118264
master	M0243	6000	1773	14	14	1	0	0.9333	1.0000	2.33	149628
master	M0250	6000	1828	15	15	1	0	0.9375	1.0000	1.59	58504
master	M0253	6000	1923	240	118	1	122	0.9916	0.4917	33.34	166668
master	M0254	6000	1833	19	19	1	0	0.9500	1.0000	26.24	250172
master	M0257	6000	2022	256	210	1	46	0.9953	0.8203	3.23	103676
master	M0260	6000	2124	22	22	1	0	0.9565	1.0000	3.91	138776
master	M0261	6000	2049	23	16	1	7	0.9412	0.6957	2.01	62148
master	M0262	6000	1871	20	20	1	0	0.9524	1.0000	7.31	167628
master	M0263	6000	2106	51	6	1	45	0.8571	0.1176	2.01	74560
master	M0266	6000	1551	47	41	1	6	0.9762	0.8723	3.58	106012
master	M0272	6000	1705	45	28	1	17	0.9655	0.6222	3.35	92744
master	M0278	2294	999	105	56	1	49	0.9825	0.5333	0.98	46656
master	M0281	6000	2075	3	2	1	1	0.6667	0.6667	2.80	99532
master	M0293	6000	1751	62	28	1	34	0.9655	0.4516	2.33	81396
master	M0294	6000	1551	116	104	1	12	0.9905	0.8966	21.93	207788
master	M0297	3582	1036	18	1	1	17	0.5000	0.0556	1.43	46716
master	M0298	6000	1498	366	1	1	365	0.5000	0.0027	2.49	83516
master	M0301	6000	2122	52	11	1	41	0.9167	0.2115	2.33	62272
master	M0308	6000	1736	174	174	1	0	0.9943	1.0000	23.91	159248
master	M0311	6000	1144	84	84	1	0	0.9882	1.0000	35.13	157304
master	M0313	6000	1483	19	12	1	7	0.9231	0.6316	3.49	62280
master	M0314	6000	1450	48	4	1	44	0.8000	0.0833	7.28	137164
master	M0321	6000	2086	25	8	1	17	0.8889	0.3200	2.02	74148
master	M0334	6000	1683	23	23	1	0	0.9583	1.0000	3.02	68620
master	M0338	6000	1871	28	0	1	28	0.0000	0.0000	5.16	123760
master	M0346	6000	1676	143	14	1	129	0.9333	0.0979	1.76	104240
master	M0348	6000	261	180	66	1	114	0.9851	0.3667	3.49	108304
master	M0351	4347	831	26	15	1	11	0.9375	0.5769	1.14	55988
master	M0353	6000	1671	14	6	1	8	0.8571	0.4286	4.24	117792
master	M0357	2313	756	6	3	1	3	0.7500	0.5000	1.77	56452
master	M0358	6000	1814	1	1	1	0	0.5000	1.0000	27.11	137276
master	M0363	6000	2056	66	3	1	63	0.7500	0.0455	1.92	60648
master	M0369	6000	2099	87	28	1	59	0.9655	0.3218	2.88	114892
master	M0371	6000	2043	123	14	1	109	0.9333	0.1138	1.65	87112
master	M0376	6000	1690	42	30	1	12	0.9677	0.7143	2.16	84040
master	M0377	6000	266	215	18	1	197	0.9474	0.0837	26.68	133208
master	M0379	6000	1691	121	30	1	91	0.9677	0.2479	28.16	162496
master	M0380	6000	1952	27	16	1	11	0.9412	0.5926	2.15	80676
master	M0381	4142	1358	76	44	1	32	0.9778	0.5789	1.02	48784
master	M0383	6000	1938	131	77	1	54	0.9872	0.5878	4.07	96448
master	M0384	6000	2062	107	2	1	105	0.6667	0.0187	1.72	82084
master	M0386	6000	1796	5	5	1	0	0.8333	1.0000	28.37	232756
master	M0387	6000	1468	2182	0	1	2182	0.0000	0.0000	1.12	59856
master	M0391	6000	2105	15	8	1	7	0.8889	0.5333	1.65	54648
master	M0398	6000	1875	37	1	1	36	0.5000	0.0270	14.66	104324
master	M0401	6000	1549	396	4	1	392	0.8000	0.0101	4.32	108376
master	M0403	6000	2193	17	13	1	4	0.9286	0.7647	1.67	80872
master	M0410	6000	1907	34	8	1	26	0.8889	0.2353	3.46	118312
master	M0412	6000	1479	61	7	1	54	0.8750	0.1148	2.83	77812
master	M0414	6000	1811	83	52	1	31	0.9811	0.6265	2.31	63116
master	M0416	6000	1998	5	5	1	0	0.8333	1.0000	18.36	141292
master	M0420	6000	2113	18	6	1	12	0.8571	0.3333	1.80	81860
master	M0423	6000	1681	99	1	1	98	0.5000	0.0101	2.36	122232
