config	qid	label	motif	mode	hits	answer_len	tp	fp	fn	precision	recall	f1	tp_at_1fp	sens_at_1fp	runtime_med	runtime_min	runtime_max	n_repeat
master	A1	zinc4_prefilter	zinc	prefilter	814	761	718	71	43	0.9100	0.9435	0.9265	31	0.0407	0.0109	0.0098	0.0115	5
default	A1	zinc4_prefilter	zinc	prefilter	814	761	718	71	43	0.9100	0.9435	0.9265	31	0.0407	0.0079	0.0064	0.0091	5
sensitive	A1	zinc4_prefilter	zinc	prefilter	878	761	739	102	22	0.8787	0.9711	0.9226	42	0.0552	0.0087	0.0064	0.0091	5
aa_blosum62	A1	zinc4_prefilter	zinc	prefilter	991	761	720	217	41	0.7684	0.9461	0.8481	31	0.0407	0.0093	0.0077	0.0110	5
aa_group	A1	zinc4_prefilter	zinc	prefilter	4889	761	730	3152	31	0.1880	0.9593	0.3145	20	0.0263	0.0182	0.0165	0.0225	5
aa_size	A1	zinc4_prefilter	zinc	prefilter	4314	761	728	2595	33	0.2191	0.9566	0.3565	31	0.0407	0.0182	0.0168	0.0217	5
sensitive_aa	A1	zinc4_prefilter	zinc	prefilter	1209	761	741	364	20	0.6706	0.9737	0.7942	43	0.0565	0.0094	0.0091	0.0119	5
master	A2	zinc4_matched	zinc	matched	746	761	700	25	61	0.9655	0.9198	0.9421	31	0.0407	0.1586	0.1542	0.1630	5
default	A2	zinc4_matched	zinc	matched	746	761	700	25	61	0.9655	0.9198	0.9421	42	0.0552	0.1602	0.1535	0.1712	5
sensitive	A2	zinc4_matched	zinc	matched	802	761	738	32	23	0.9584	0.9698	0.9641	46	0.0604	0.1672	0.1654	0.1694	5
aa_blosum62	A2	zinc4_matched	zinc	matched	751	761	701	26	60	0.9642	0.9212	0.9422	42	0.0552	0.2143	0.2059	0.2248	5
aa_group	A2	zinc4_matched	zinc	matched	673	761	623	36	138	0.9454	0.8187	0.8775	36	0.0473	1.7839	1.7477	2.0098	5
aa_size	A2	zinc4_matched	zinc	matched	681	761	640	23	121	0.9653	0.8410	0.8989	42	0.0552	1.5453	1.5246	1.5944	5
sensitive_aa	A2	zinc4_matched	zinc	matched	811	761	739	34	22	0.9560	0.9711	0.9635	46	0.0604	0.2716	0.2672	0.2826	5
master	B1	zinc3_prefilter	zinc	prefilter	767	761	706	38	55	0.9489	0.9277	0.9382	43	0.0565	0.0107	0.0101	0.0117	5
default	B1	zinc3_prefilter	zinc	prefilter	767	761	706	38	55	0.9489	0.9277	0.9382	43	0.0565	0.0076	0.0060	0.0088	5
sensitive	B1	zinc3_prefilter	zinc	prefilter	826	761	736	53	25	0.9328	0.9671	0.9497	22	0.0289	0.0076	0.0063	0.0091	5
aa_blosum62	B1	zinc3_prefilter	zinc	prefilter	876	761	710	125	51	0.8503	0.9330	0.8897	44	0.0578	0.0091	0.0084	0.0097	5
aa_group	B1	zinc3_prefilter	zinc	prefilter	2570	761	715	1417	46	0.3354	0.9396	0.4943	45	0.0591	0.0166	0.0133	0.0174	5
aa_size	B1	zinc3_prefilter	zinc	prefilter	2276	761	722	1179	39	0.3798	0.9488	0.5424	44	0.0578	0.0147	0.0129	0.0189	5
sensitive_aa	B1	zinc3_prefilter	zinc	prefilter	993	761	740	191	21	0.7948	0.9724	0.8747	22	0.0289	0.0083	0.0081	0.0087	5
master	B2	zinc3_matched	zinc	matched	756	761	704	30	57	0.9591	0.9251	0.9418	43	0.0565	0.1519	0.1500	0.1528	5
default	B2	zinc3_matched	zinc	matched	756	761	704	30	57	0.9591	0.9251	0.9418	22	0.0289	0.1435	0.1424	0.1451	5
sensitive	B2	zinc3_matched	zinc	matched	813	761	736	40	25	0.9485	0.9671	0.9577	12	0.0158	0.1585	0.1556	0.1629	5
aa_blosum62	B2	zinc3_matched	zinc	matched	773	761	708	38	53	0.9491	0.9304	0.9396	22	0.0289	0.1917	0.1802	0.1956	5
aa_group	B2	zinc3_matched	zinc	matched	883	761	713	126	48	0.8498	0.9369	0.8912	23	0.0302	0.8941	0.8893	0.9991	5
aa_size	B2	zinc3_matched	zinc	matched	897	761	716	143	45	0.8335	0.9409	0.8840	22	0.0289	0.7776	0.7650	0.8019	5
sensitive_aa	B2	zinc3_matched	zinc	matched	836	761	739	55	22	0.9307	0.9711	0.9505	12	0.0158	0.2145	0.2128	0.2221	5
master	C1	serine_prefilter	serine	prefilter	107	124	102	5	22	0.9533	0.8226	0.8831	29	0.2339	0.0100	0.0084	0.0107	5
default	C1	serine_prefilter	serine	prefilter	107	124	102	5	22	0.9533	0.8226	0.8831	29	0.2339	0.0074	0.0061	0.0078	5
sensitive	C1	serine_prefilter	serine	prefilter	114	124	109	5	15	0.9561	0.8790	0.9160	32	0.2581	0.0066	0.0057	0.0082	5
aa_blosum62	C1	serine_prefilter	serine	prefilter	530	124	103	330	21	0.2379	0.8306	0.3698	29	0.2339	0.0109	0.0096	0.0125	5
aa_group	C1	serine_prefilter	serine	prefilter	663	124	104	447	20	0.1887	0.8387	0.3081	29	0.2339	0.0095	0.0090	0.0117	5
aa_size	C1	serine_prefilter	serine	prefilter	1334	124	106	917	18	0.1036	0.8548	0.1848	30	0.2419	0.0147	0.0145	0.0176	5
sensitive_aa	C1	serine_prefilter	serine	prefilter	548	124	110	338	14	0.2455	0.8871	0.3846	32	0.2581	0.0125	0.0103	0.0148	5
master	C2	serine_matched	serine	matched	113	124	107	4	17	0.9640	0.8629	0.9106	29	0.2339	0.1679	0.1611	0.1739	5
default	C2	serine_matched	serine	matched	113	124	107	4	17	0.9640	0.8629	0.9106	19	0.1532	0.1653	0.1613	0.1706	5
sensitive	C2	serine_matched	serine	matched	113	124	107	4	17	0.9640	0.8629	0.9106	20	0.1613	0.1594	0.1588	0.1781	5
aa_blosum62	C2	serine_matched	serine	matched	195	124	109	70	15	0.6089	0.8790	0.7195	19	0.1532	1.3368	1.2877	1.4697	5
aa_group	C2	serine_matched	serine	matched	204	124	108	76	16	0.5870	0.8710	0.7013	19	0.1532	1.5981	1.5851	1.6466	5
aa_size	C2	serine_matched	serine	matched	286	124	108	156	16	0.4091	0.8710	0.5567	19	0.1532	2.9762	2.8284	3.1048	5
sensitive_aa	C2	serine_matched	serine	matched	197	124	109	72	15	0.6022	0.8790	0.7148	20	0.1613	1.3002	1.2839	1.3419	5
master	D1	zincseg_prefilter	zinc	prefilter	800	761	672	90	89	0.8819	0.8830	0.8825	26	0.0342	0.0543	0.0499	0.0735	5
default	D1	zincseg_prefilter	zinc	prefilter	800	761	672	90	89	0.8819	0.8830	0.8825	26	0.0342	0.0623	0.0512	0.0752	5
