# Scoring of neighbouring-bin (geometry-only expanded) hashes, 2026-09-17. Binary: 2cd6e60 + env switches.
# g0 current | g1 neighbours scored like substitutions (IDF cap, one hit per edge, matched-only), weight 1 | g2 same, weight 0.75
# g3 neighbour IDF capped at the observed bin in candidate scoring only | g4 neighbour edges count only between matched residues (shipped in 5ae7321)
## M-CSA q250 exact, Sens@1FP, paired vs g0 default
config                         n    mean    dmean    ci_lo    ci_hi win/loss
g0_def                       250  0.4465  +0.0000  +0.0000  +0.0000 0/0
g1_def                       250  0.4584  +0.0119  +0.0030  +0.0216 62/35
g2_def                       250  0.4516  +0.0051  -0.0056  +0.0157 66/63
g3_def                       250  0.4464  -0.0000  -0.0001  +0.0000 1/1
g4_def                       250  0.4573  +0.0109  +0.0035  +0.0193 39/27
g0_sens                      250  0.4536  +0.0071  -0.0064  +0.0191 95/41
g1_sens                      250  0.4659  +0.0194  +0.0071  +0.0321 115/48
g2_sens                      250  0.4650  +0.0185  +0.0062  +0.0307 110/53
g3_sens                      250  0.4536  +0.0071  -0.0062  +0.0190 95/41
g4_sens                      250  0.4647  +0.0182  +0.0054  +0.0310 111/48
## M-CSA q250 with substitution (X6 = 78bb4a6 scoring; G4 = X6 + g4)
mut_default                  250  0.2851  +0.0000  +0.0000  +0.0000 0/0
mstar_X6                     250  0.4123  +0.1273  +0.1028  +0.1520 159/11
mstar_G4                     250  0.4216  +0.1365  +0.1108  +0.1641 160/11
mglob_X6                     250  0.4015  +0.1164  +0.0929  +0.1414 158/18
mglob_G4                     250  0.4116  +0.1265  +0.1020  +0.1536 160/20
g0_def                       250  0.4465  +0.0000  +0.0000  +0.0000 0/0
eglob_X6                     250  0.4447  -0.0017  -0.0113  +0.0075 44/40
eglob_G4                     250  0.4561  +0.0096  -0.0030  +0.0240 67/58
## Motif set (human index): Sens@1FP / Sens@10FP / Sens@50FP
cfg	qid	f1	s@1	s@10	s@50
g0_def	A1	0.9265	0.0407	0.1669	0.8949
g1_def	A1	0.9265	0.0171	0.1104	0.3693
g2_def	A1	0.9265	0.0131	0.1012	0.5664
g4_def	A1	0.9265	0.0407	0.1669	0.8949
g0_sens	A1	0.9226	0.0552	0.4625	0.9304
g1_sens	A1	0.9226	0.0223	0.0986	0.7740
g2_sens	A1	0.9226	0.0171	0.1064	0.8292
g4_sens	A1	0.9226	0.0552	0.4625	0.9304
g0_def	A2	0.9421	0.0407	0.3469	0.9198
g1_def	A2	0.9421	0.0171	0.1340	0.9198
g2_def	A2	0.9421	0.0131	0.1248	0.9198
g4_def	A2	0.9421	0.0407	0.3469	0.9198
g0_sens	A2	0.9641	0.0552	0.5585	0.9698
g1_sens	A2	0.9641	0.0223	0.0986	0.9698
g2_sens	A2	0.9641	0.0171	0.1064	0.9698
g4_sens	A2	0.9641	0.0552	0.5585	0.9698
g0_def	B1	0.9382	0.0565	0.7201	0.9277
g1_def	B1	0.9382	0.0526	0.1892	0.9277
g2_def	B1	0.9382	0.0276	0.2155	0.9277
g4_def	B1	0.9382	0.0565	0.7201	0.9277
g0_sens	B1	0.9497	0.0289	0.7963	0.9593
g1_sens	B1	0.9497	0.0053	0.2602	0.9580
g2_sens	B1	0.9497	0.0039	0.2247	0.9593
g4_sens	B1	0.9497	0.0289	0.7963	0.9593
g0_def	B2	0.9418	0.0565	0.7201	0.9251
g1_def	B2	0.9418	0.0526	0.1892	0.9251
g2_def	B2	0.9418	0.0276	0.2155	0.9251
g4_def	B2	0.9418	0.0565	0.7201	0.9251
g0_sens	B2	0.9577	0.0289	0.7963	0.9671
g1_sens	B2	0.9577	0.0053	0.2602	0.9671
g2_sens	B2	0.9577	0.0039	0.2247	0.9671
g4_sens	B2	0.9577	0.0289	0.7963	0.9671
g0_def	C1	0.8831	0.2339	0.8226	0.8226
g1_def	C1	0.8831	0.2258	0.8226	0.8226
g2_def	C1	0.8831	0.2339	0.8226	0.8226
g4_def	C1	0.8831	0.2339	0.8226	0.8226
g0_sens	C1	0.9160	0.2581	0.8790	0.8790
g1_sens	C1	0.9160	0.2500	0.8790	0.8790
g2_sens	C1	0.9160	0.2581	0.8790	0.8790
g4_sens	C1	0.9160	0.2581	0.8790	0.8790
g0_def	C2	0.9106	0.2339	0.8629	0.8629
g1_def	C2	0.9106	0.2258	0.8629	0.8629
g2_def	C2	0.9106	0.2258	0.8629	0.8629
g4_def	C2	0.9106	0.2339	0.8629	0.8629
g0_sens	C2	0.9106	0.2581	0.8629	0.8629
g1_sens	C2	0.9106	0.2500	0.8629	0.8629
g2_sens	C2	0.9106	0.2500	0.8629	0.8629
g4_sens	C2	0.9106	0.2581	0.8629	0.8629
g0_def	D1	0.8825	0.0342	0.8331	0.8752
g1_def	D1	0.8741	0.0263	0.8187	0.8686
g2_def	D1	0.8777	0.0237	0.8279	0.8725
g4_def	D1	0.8825	0.0342	0.8331	0.8752
g0_sens	D1	0.8740	0.0329	0.8147	0.8528
g1_sens	D1	0.8633	0.0197	0.8055	0.8515
g2_sens	D1	0.8712	0.0223	0.8213	0.8581
g4_sens	D1	0.8740	0.0329	0.8147	0.8528
g0_def	D2	0.9204	0.0342	0.8568	0.8739
g1_def	D2	0.9163	0.0263	0.8410	0.8699
g2_def	D2	0.9163	0.0237	0.8423	0.8699
g4_def	D2	0.9204	0.0342	0.8568	0.8739
g0_sens	D2	0.9117	0.0329	0.8305	0.8686
g1_sens	D2	0.9063	0.0197	0.8055	0.8581
g2_sens	D2	0.9127	0.0223	0.8252	0.8660
g4_sens	D2	0.9117	0.0329	0.8305	0.8686
