# Scoring selection sweep (2026-09-17). Sens@1FP on M-CSA; dmean = paired mean vs the first row of each block, 95% bootstrap CI.
# Binaries: base = aa5542d; mut_star/mut_blosum62/pf_* = weight 0.5 + cap + edge; w0.25/w0.75 = same, other weight;
# X* = env-configured build: X0 w1 nocap noedge nomatched | X1 w1 edge | X2 w1 edge matched | X3 w1 cap edge matched | X4 w0.75 edge matched | X5 w0.5 cap edge matched | X6 w0.75 cap edge matched (shipped)
## q60 mutant, :* on the mutated residue
config                         n    mean    dmean    ci_lo    ci_hi win/loss
mut_default                   60  0.3016  +0.0000  +0.0000  +0.0000 0/0
orig_default                  60  0.4680  +0.1665  +0.1119  +0.2284 38/3
mut_star_base                 60  0.4584  +0.1568  +0.1053  +0.2153 36/4
mut_star_w0.25                60  0.3474  +0.0458  +0.0206  +0.0749 18/1
mut_star                      60  0.3879  +0.0863  +0.0482  +0.1268 28/1
mut_star_w0.75                60  0.4392  +0.1376  +0.0878  +0.1934 35/2
mstar_X0                      60  0.4372  +0.1356  +0.0840  +0.1905 37/3
mstar_X1                      60  0.4418  +0.1403  +0.0856  +0.1966 37/3
mstar_X2                      60  0.4494  +0.1478  +0.0947  +0.2068 37/3
mstar_X3                      60  0.4527  +0.1511  +0.0954  +0.2133 35/2
mstar_X4                      60  0.4444  +0.1428  +0.0920  +0.2031 38/2
mstar_X5                      60  0.3879  +0.0863  +0.0499  +0.1251 28/1
## q60 mutant, --aa-subst blosum62
mut_default                   60  0.3016  +0.0000  +0.0000  +0.0000 0/0
mut_blosum62_base             60  0.3703  +0.0688  +0.0135  +0.1223 28/13
mut_blosum62_w0.25            60  0.3600  +0.0585  +0.0294  +0.0960 22/2
mut_blosum62                  60  0.3877  +0.0861  +0.0486  +0.1253 28/2
mut_blosum62_w0.75            60  0.4152  +0.1137  +0.0697  +0.1643 33/6
mut_sens_blosum62             60  0.3798  +0.0783  +0.0257  +0.1339 24/7
mglob_X0                      60  0.3666  +0.0650  +0.0285  +0.1065 26/14
mglob_X1                      60  0.3766  +0.0751  +0.0375  +0.1171 27/13
mglob_X2                      60  0.4139  +0.1124  +0.0606  +0.1688 32/9
mglob_X3                      60  0.4153  +0.1137  +0.0633  +0.1723 31/9
mglob_X4                      60  0.4402  +0.1386  +0.0865  +0.1982 39/4
mglob_X5                      60  0.3885  +0.0870  +0.0508  +0.1261 29/2
## q60 exact, --aa-subst blosum62 (pf_group = group, pf_sens_blosum62 = --sensitive + blosum62)
config                         n    mean    dmean    ci_lo    ci_hi win/loss
we_default                    60  0.4680  +0.0000  +0.0000  +0.0000 0/0
w0.25_blosum62                60  0.4596  -0.0085  -0.0248  +0.0027 6/3
pf_blosum62                   60  0.4626  -0.0055  -0.0272  +0.0147 8/5
w0.75_blosum62                60  0.4386  -0.0295  -0.0586  -0.0049 6/15
pf_group                      60  0.4641  -0.0039  -0.0137  +0.0027 4/5
pf_sens_blosum62              60  0.4683  +0.0003  -0.0330  +0.0296 20/11
eglob_X0                      60  0.3682  -0.0999  -0.1447  -0.0592 5/32
eglob_X1                      60  0.3834  -0.0846  -0.1221  -0.0474 5/30
eglob_X2                      60  0.4265  -0.0416  -0.0793  -0.0080 8/22
eglob_X3                      60  0.4434  -0.0247  -0.0593  +0.0064 9/18
eglob_X4                      60  0.4621  -0.0059  -0.0296  +0.0154 6/11
eglob_X5                      60  0.4731  +0.0050  -0.0079  +0.0197 8/3
## q60 exact, :* on the same residue
config                         n    mean    dmean    ci_lo    ci_hi win/loss
orig_default                  60  0.4680  +0.0000  +0.0000  +0.0000 0/0
ostar_base                    60  0.4420  -0.0261  -0.0549  -0.0009 1/11
ostar_w05                     60  0.4527  -0.0154  -0.0364  +0.0001 1/3
ostar_X1                      60  0.4285  -0.0395  -0.0758  -0.0107 1/10
ostar_X2                      60  0.4334  -0.0347  -0.0704  -0.0076 0/9
ostar_X3                      60  0.4479  -0.0202  -0.0479  -0.0006 0/6
ostar_X4                      60  0.4482  -0.0198  -0.0448  -0.0001 0/4
## q250 mutant
config                         n    mean    dmean    ci_lo    ci_hi win/loss
mut_default                  250  0.2851  +0.0000  +0.0000  +0.0000 0/0
orig_default                 250  0.4465  +0.1614  +0.1348  +0.1894 174/15
mut_star_base                250  0.4241  +0.1391  +0.1142  +0.1653 160/22
mstar_X3                     250  0.4237  +0.1386  +0.1146  +0.1654 168/12
mstar_X4                     250  0.4149  +0.1298  +0.1058  +0.1553 165/10
mstar_X6                     250  0.4123  +0.1273  +0.1036  +0.1528 159/11
mglob_X3                     250  0.3968  +0.1117  +0.0892  +0.1388 155/31
mglob_X4                     250  0.4021  +0.1170  +0.0938  +0.1425 162/19
mglob_X6                     250  0.4015  +0.1164  +0.0925  +0.1409 158/18
## q250 exact, --aa-subst blosum62
config                         n    mean    dmean    ci_lo    ci_hi win/loss
default_ref                  250  0.4465  +0.0000  +0.0000  +0.0000 0/0
eglob_X3                     250  0.4267  -0.0198  -0.0342  -0.0066 41/78
eglob_X4                     250  0.4370  -0.0094  -0.0214  +0.0018 41/50
eglob_X6                     250  0.4447  -0.0017  -0.0120  +0.0072 44/40
## q250 exact, :*
config                         n    mean    dmean    ci_lo    ci_hi win/loss
orig_default                 250  0.4465  +0.0000  +0.0000  +0.0000 0/0
ostar_X3                     250  0.4414  -0.0050  -0.0130  +0.0018 14/22
ostar_X4                     250  0.4420  -0.0045  -0.0120  +0.0018 14/14
ostar_X6                     250  0.4431  -0.0034  -0.0112  +0.0029 16/11
